Day,DATE,SID.TIME,SUN,MOON,MERCURY,VENUS,MARS,JUPITER,SATURN,URANUS,NEPTUNE,PLUTO,NODE
We,2020-04-01,12:39:16,11AR44,06CN33,15PI17,27TA31,00AQ49,24CP24,00AQ41,05TA10,19PI16,24CP50,03CN25
Th,2020-04-02,12:43:12,12AR43,19CN38,16PI36,28TA26,01AQ31,24CP31,00AQ44,05TA13,19PI19,24CP51,03CN22
Fr,2020-04-03,12:47:09,13AR42,03LE10,17PI56,29TA21,02AQ13,24CP38,00AQ48,05TA16,19PI21,24CP52,03CN19
Sa,2020-04-04,12:51:06,14AR41,17LE10,19PI18,00GE15,02AQ54,24CP46,00AQ51,05TA19,19PI23,24CP52,03CN16
Su,2020-04-05,12:55:02,15AR40,01VI38,20PI42,01GE09,03AQ36,24CP52,00AQ55,05TA23,19PI25,24CP53,03CN12
Mo,2020-04-06,12:58:59,16AR39,16VI32,22PI08,02GE02,04AQ18,24CP59,00AQ58,05TA26,19PI27,24CP54,03CN09
Tu,2020-04-07,13:02:55,17AR38,01LI44,23PI35,02GE54,04AQ59,25CP06,01AQ01,05TA29,19PI29,24CP54,03CN06
We,2020-04-08,13:06:52,18AR37,17LI04,25PI04,03GE46,05AQ41,25CP12,01AQ05,05TA33,19PI31,24CP55,03CN03
Th,2020-04-09,13:10:48,19AR36,02SC21,26PI35,04GE37,06AQ23,25CP19,01AQ08,05TA36,19PI33,24CP55,02CN60
Fr,2020-04-10,13:14:45,20AR35,17SC23,28PI07,05GE27,07AQ04,25CP25,01AQ11,05TA39,19PI35,24CP56,02CN57
Sa,2020-04-11,13:18:41,21AR34,02SG03,29PI41,06GE16,07AQ46,25CP31,01AQ14,05TA43,19PI37,24CP56,02CN53
Su,2020-04-12,13:22:38,22AR33,16SG14,01AR16,07GE04,08AQ28,25CP37,01AQ16,05TA46,19PI39,24CP57,02CN50
Mo,2020-04-13,13:26:35,23AR32,29SG56,02AR53,07GE52,09AQ10,25CP43,01AQ19,05TA50,19PI41,24CP57,02CN47
Tu,2020-04-14,13:30:31,24AR30,13CP10,04AR32,08GE39,09AQ51,25CP48,01AQ22,05TA53,19PI43,24CP57,02CN44
We,2020-04-15,13:34:28,25AR29,25CP60,06AR12,09GE25,10AQ33,25CP54,01AQ24,05TA56,19PI45,24CP58,02CN41
Th,2020-04-16,13:38:24,26AR28,08AQ29,07AR54,10GE10,11AQ15,25CP59,01AQ27,05TA60,19PI47,24CP58,02CN37
Fr,2020-04-17,13:42:21,27AR27,20AQ42,09AR37,10GE54,11AQ56,26CP04,01AQ29,06TA03,19PI49,24CP58,02CN34
Sa,2020-04-18,13:46:17,28AR25,02PI44,11AR22,11GE37,12AQ38,26CP09,01AQ31,06TA07,19PI51,24CP59,02CN31
Su,2020-04-19,13:50:14,29AR24,14PI40,13AR09,12GE19,13AQ20,26CP14,01AQ34,06TA10,19PI53,24CP59,02CN28
Mo,2020-04-20,13:54:10,00TA23,26PI32,14AR57,13GE00,14AQ01,26CP18,01AQ36,06TA13,19PI54,24CP59,02CN25
Tu,2020-04-21,13:58:07,01TA21,08AR23,16AR47,13GE40,14AQ43,26CP23,01AQ38,06TA17,19PI56,24CP59,02CN22
We,2020-04-22,14:02:04,02TA20,20AR15,18AR38,14GE19,15AQ24,26CP27,01AQ40,06TA20,19PI58,24CP59,02CN18
Th,2020-04-23,14:06:00,03TA18,02TA11,20AR31,14GE56,16AQ06,26CP31,01AQ41,06TA24,19PI60,24CP59,02CN15
Fr,2020-04-24,14:09:57,04TA17,14TA11,22AR26,15GE32,16AQ48,26CP35,01AQ43,06TA27,20PI02,24CP59,02CN12
Sa,2020-04-25,14:13:53,05TA15,26TA16,24AR22,16GE07,17AQ29,26CP39,01AQ45,06TA31,20PI03,24CP59,02CN09
Su,2020-04-26,14:17:50,06TA14,08GE29,26AR20,16GE41,18AQ11,26CP42,01AQ46,06TA34,20PI05,24CP59,02CN06
Mo,2020-04-27,14:21:46,07TA12,20GE52,28AR20,17GE13,18AQ52,26CP45,01AQ48,06TA38,20PI07,24CP59,02CN02
Tu,2020-04-28,14:25:43,08TA10,03CN26,00TA21,17GE44,19AQ34,26CP49,01AQ49,06TA41,20PI08,24CP59,01CN59
We,2020-04-29,14:29:39,09TA09,16CN15,02TA23,18GE13,20AQ15,26CP52,01AQ50,06TA45,20PI10,24CP59,01CN56
Th,2020-04-30,14:33:36,10TA07,29CN23,04TA27,18GE41,20AQ57,26CP54,01AQ51,06TA48,20PI12,24CP59,01CN53
