Day,DATE,SID.TIME,SUN,MOON,MERCURY,VENUS,MARS,JUPITER,SATURN,URANUS,NEPTUNE,PLUTO,NODE
Sa,2020-08-01,20:40:16,09LE13,06CP44,22CN35,24GE09,18AR13,20CP08,27CP50,10TA36,20PI35,23CP21,26GE58
Su,2020-08-02,20:44:12,10LE10,20CP03,24CN17,25GE00,18AR39,20CP02,27CP46,10TA37,20PI34,23CP20,26GE54
Mo,2020-08-03,20:48:09,11LE08,03AQ09,26CN02,25GE52,19AR05,19CP55,27CP41,10TA37,20PI32,23CP18,26GE51
Tu,2020-08-04,20:52:05,12LE05,16AQ02,27CN51,26GE44,19AR31,19CP48,27CP37,10TA38,20PI31,23CP17,26GE48
We,2020-08-05,20:56:02,13LE02,28AQ42,29CN43,27GE37,19AR56,19CP42,27CP33,10TA39,20PI30,23CP16,26GE45
Th,2020-08-06,20:59:58,13LE60,11PI09,01LE38,28GE31,20AR21,19CP35,27CP29,10TA39,20PI29,23CP14,26GE42
Fr,2020-08-07,21:03:55,14LE57,23PI24,03LE35,29GE25,20AR45,19CP29,27CP25,10TA40,20PI28,23CP13,26GE38
Sa,2020-08-08,21:07:51,15LE55,05AR28,05LE33,00CN20,21AR08,19CP23,27CP21,10TA40,20PI26,23CP12,26GE35
Su,2020-08-09,21:11:48,16LE52,17AR24,07LE34,01CN15,21AR32,19CP17,27CP16,10TA40,20PI25,23CP10,26GE32
Mo,2020-08-10,21:15:45,17LE50,29AR16,09LE35,02CN11,21AR54,19CP11,27CP12,10TA41,20PI24,23CP09,26GE29
Tu,2020-08-11,21:19:41,18LE47,11TA08,11LE38,03CN07,22AR16,19CP05,27CP08,10TA41,20PI22,23CP08,26GE26
We,2020-08-12,21:23:38,19LE45,23TA04,13LE41,04CN04,22AR38,18CP59,27CP05,10TA41,20PI21,23CP07,26GE23
Th,2020-08-13,21:27:34,20LE43,05GE11,15LE44,05CN01,22AR59,18CP54,27CP01,10TA41,20PI20,23CP05,26GE19
Fr,2020-08-14,21:31:31,21LE40,17GE32,17LE47,05CN58,23AR19,18CP48,26CP57,10TA41,20PI18,23CP04,26GE16
Sa,2020-08-15,21:35:27,22LE38,00CN13,19LE49,06CN56,23AR39,18CP43,26CP53,10TA41,20PI17,23CP03,26GE13
Su,2020-08-16,21:39:24,23LE35,13CN16,21LE52,07CN55,23AR58,18CP38,26CP49,10TA41,20PI15,23CP02,26GE10
Mo,2020-08-17,21:43:20,24LE33,26CN45,23LE53,08CN54,24AR17,18CP33,26CP46,10TA41,20PI14,23CP00,26GE07
Tu,2020-08-18,21:47:17,25LE31,10LE40,25LE54,09CN53,24AR35,18CP28,26CP42,10TA41,20PI13,22CP59,26GE04
We,2020-08-19,21:51:14,26LE29,24LE57,27LE54,10CN52,24AR52,18CP23,26CP38,10TA41,20PI11,22CP58,26GE00
Th,2020-08-20,21:55:10,27LE26,09VI32,29LE53,11CN52,25AR09,18CP19,26CP35,10TA41,20PI10,22CP57,25GE57
Fr,2020-08-21,21:59:07,28LE24,24VI17,01VI50,12CN53,25AR25,18CP14,26CP32,10TA41,20PI08,22CP56,25GE54
Sa,2020-08-22,22:03:03,29LE22,09LI04,03VI46,13CN54,25AR40,18CP10,26CP28,10TA40,20PI07,22CP55,25GE51
Su,2020-08-23,0.921527778,00VI20,23LI46,05VI42,14CN55,25AR55,18CP06,26CP25,10TA40,20PI05,22CP54,25GE48
Mo,2020-08-24,22:10:56,01VI18,08SC16,07VI35,15CN56,26AR09,18CP02,26CP22,10TA40,20PI04,22CP53,25GE44
Tu,2020-08-25,22:14:53,02VI16,22SC30,09VI28,16CN58,26AR22,17CP59,26CP18,10TA39,20PI02,22CP52,25GE41
We,2020-08-26,22:18:49,03VI13,06SG27,11VI19,17CN60,26AR35,17CP55,26CP15,10TA39,20PI00,22CP50,25GE38
Th,2020-08-27,22:22:46,04VI11,20SG08,13VI09,19CN02,26AR47,17CP52,26CP12,10TA38,19PI59,22CP49,25GE35
Fr,2020-08-28,22:26:43,05VI09,03CP32,14VI57,20CN04,26AR58,17CP49,26CP09,10TA38,19PI57,22CP48,25GE32
Sa,2020-08-29,22:30:39,06VI07,16CP42,16VI45,21CN07,27AR08,17CP46,26CP07,10TA37,19PI56,22CP48,25GE29
Su,2020-08-30,22:34:36,07VI05,29CP40,18VI31,22CN10,27AR17,17CP43,26CP04,10TA36,19PI54,22CP47,25GE25
Mo,2020-08-31,22:38:32,08VI03,12AQ26,20VI15,23CN14,27AR26,17CP41,26CP01,10TA36,19PI52,22CP46,25GE22
