Day,DATE,SID.TIME,SUN,MOON,MERCURY,VENUS,MARS,JUPITER,SATURN,URANUS,NEPTUNE,PLUTO,NODE
Tu,2020-12-01,04:41:15,09SG15,15GE57,28SC43,11SC42,17AR03,26CP09,28CP24,07TA31,18PI10,23CP16,20GE30
We,2020-12-02,04:45:12,10SG15,28GE10,00SG16,12SC57,17AR16,26CP21,28CP30,07TA29,18PI10,23CP18,20GE27
Th,2020-12-03,04:49:08,11SG16,10CN34,01SG50,14SC11,17AR29,26CP32,28CP35,07TA27,18PI10,23CP19,20GE24
Fr,2020-12-04,04:53:05,12SG17,23CN09,03SG23,15SC26,17AR43,26CP44,28CP41,07TA25,18PI10,23CP21,20GE20
Sa,2020-12-05,04:57:02,13SG18,05LE57,04SG57,16SC41,17AR57,26CP56,28CP47,07TA23,18PI11,23CP22,20GE17
Su,2020-12-06,05:00:58,14SG19,19LE01,06SG31,17SC55,18AR12,27CP09,28CP52,07TA21,18PI11,23CP24,20GE14
Mo,2020-12-07,05:04:55,15SG20,02VI22,08SG05,19SC10,18AR27,27CP21,28CP58,07TA20,18PI11,23CP26,20GE11
Tu,2020-12-08,05:08:51,16SG21,16VI01,09SG38,20SC25,18AR43,27CP33,29CP04,07TA18,18PI11,23CP27,20GE08
We,2020-12-09,05:12:48,17SG22,29VI59,11SG12,21SC40,18AR60,27CP45,29CP10,07TA16,18PI12,23CP29,20GE04
Th,2020-12-10,05:16:44,18SG23,14LI15,12SG46,22SC54,19AR17,27CP58,29CP16,07TA14,18PI12,23CP31,20GE01
Fr,2020-12-11,05:20:41,19SG24,28LI47,14SG20,24SC09,19AR35,28CP10,29CP22,07TA13,18PI13,23CP32,19GE58
Sa,2020-12-12,05:24:37,20SG25,13SC31,15SG54,25SC24,19AR53,28CP23,29CP28,07TA11,18PI13,23CP34,19GE55
Su,2020-12-13,05:28:34,21SG26,28SC21,17SG28,26SC39,20AR11,28CP36,29CP34,07TA09,18PI13,23CP36,19GE52
Mo,2020-12-14,05:32:31,22SG27,13SG09,19SG02,27SC54,20AR30,28CP48,29CP40,07TA08,18PI14,23CP38,19GE49
Tu,2020-12-15,05:36:27,23SG28,27SG49,20SG36,29SC09,20AR50,29CP01,29CP46,07TA06,18PI14,23CP39,19GE45
We,2020-12-16,05:40:24,24SG29,12CP13,22SG10,00SG24,21AR10,29CP14,29CP52,07TA05,18PI15,23CP41,19GE42
Th,2020-12-17,05:44:20,25SG30,26CP17,23SG44,01SG39,21AR30,29CP27,29CP59,07TA04,18PI16,23CP43,19GE39
Fr,2020-12-18,05:48:17,26SG31,09AQ56,25SG19,02SG54,21AR51,29CP40,00AQ05,07TA02,18PI16,23CP45,19GE36
Sa,2020-12-19,05:52:13,27SG32,23AQ10,26SG54,04SG09,22AR12,29CP53,00AQ11,07TA01,18PI17,23CP47,19GE33
Su,2020-12-20,05:56:10,28SG33,06PI01,28SG28,05SG24,22AR34,00AQ06,00AQ18,06TA60,18PI18,23CP48,19GE30
Mo,2020-12-21,06:00:06,29SG34,18PI31,00CP03,06SG39,22AR56,00AQ19,00AQ24,06TA58,18PI18,23CP50,19GE26
Tu,2020-12-22,06:04:03,00CP35,00AR44,01CP39,07SG54,23AR18,00AQ32,00AQ31,06TA57,18PI19,23CP52,19GE23
We,2020-12-23,0.255555556,01CP37,12AR44,03CP14,09SG09,23AR41,00AQ45,00AQ37,06TA56,18PI20,23CP54,19GE20
Th,2020-12-24,06:11:56,02CP38,24AR36,04CP49,10SG24,24AR04,00AQ59,00AQ44,06TA55,18PI21,23CP56,19GE17
Fr,2020-12-25,06:15:53,03CP39,06TA26,06CP25,11SG39,24AR28,01AQ12,00AQ50,06TA54,18PI22,23CP58,19GE14
Sa,2020-12-26,06:19:49,04CP40,18TA17,08CP01,12SG54,24AR51,01AQ26,00AQ57,06TA53,18PI23,23CP60,19GE10
Su,2020-12-27,06:23:46,05CP41,00GE13,09CP38,14SG09,25AR16,01AQ39,01AQ04,06TA52,18PI24,24CP02,19GE07
Mo,2020-12-28,06:27:42,06CP42,12GE18,11CP14,15SG24,25AR40,01AQ53,01AQ10,06TA51,18PI24,24CP03,19GE04
Tu,2020-12-29,06:31:39,07CP43,24GE34,12CP51,16SG39,26AR05,02AQ06,01AQ17,06TA50,18PI25,24CP05,19GE01
We,2020-12-30,06:35:35,08CP44,07CN03,14CP28,17SG54,26AR30,02AQ20,01AQ24,06TA49,18PI27,24CP07,18GE58
Th,2020-12-31,06:39:32,09CP46,19CN46,16CP05,19SG09,26AR56,02AQ33,01AQ31,06TA49,18PI28,24CP09,18GE55
