Day,DATE,SID.TIME,SUN,MOON,MERCURY,VENUS,MARS,JUPITER,SATURN,URANUS,NEPTUNE,PLUTO,NODE
We,2020-01-01,06:40:29,10CP00,16PI08,04CP23,14AQ24,28SC23,06CP40,21CP24,02TA42,16PI16,22CP23,08CN14
Th,2020-01-02,06:44:26,11CP02,28PI01,05CP58,15AQ38,29SC03,06CP54,21CP31,02TA41,16PI17,22CP25,08CN11
Fr,2020-01-03,06:48:22,12CP03,09AR53,07CP33,16AQ51,29SC44,07CP08,21CP38,02TA41,16PI19,22CP27,08CN08
Sa,2020-01-04,06:52:19,13CP04,21AR49,09CP08,18AQ05,00SG24,07CP22,21CP45,02TA40,16PI20,22CP29,08CN05
Su,2020-01-05,06:56:16,14CP05,03TA55,10CP43,19AQ18,01SG05,07CP35,21CP52,02TA40,16PI21,22CP31,08CN02
Mo,2020-01-06,07:00:12,15CP06,16TA14,12CP19,20AQ32,01SG45,07CP49,21CP59,02TA40,16PI22,22CP33,07CN58
Tu,2020-01-07,07:04:09,16CP07,28TA50,13CP56,21AQ45,02SG25,08CP03,22CP06,02TA39,16PI24,22CP35,07CN55
We,2020-01-08,07:08:05,17CP09,11GE46,15CP33,22AQ58,03SG06,08CP17,22CP13,02TA39,16PI25,22CP37,07CN52
Th,2020-01-09,07:12:02,18CP10,25GE04,17CP10,24AQ11,03SG46,08CP31,22CP20,02TA39,16PI26,22CP39,07CN49
Fr,2020-01-10,07:15:58,19CP11,08CN44,18CP47,25AQ24,04SG27,08CP44,22CP27,02TA39,16PI28,22CP41,07CN46
Sa,2020-01-11,07:19:55,20CP12,22CN43,20CP25,26AQ37,05SG07,08CP58,22CP34,02TA39,16PI29,22CP43,07CN43
Su,2020-01-12,07:23:51,21CP13,06LE60,22CP04,27AQ50,05SG48,09CP12,22CP42,02TA39,16PI31,22CP45,07CN39
Mo,2020-01-13,07:27:48,22CP14,21LE27,23CP43,29AQ03,06SG29,09CP25,22CP49,02TA39,16PI32,22CP47,07CN36
Tu,2020-01-14,07:31:45,23CP15,05VI59,25CP22,00PI16,07SG09,09CP39,22CP56,02TA39,16PI34,22CP49,07CN33
We,2020-01-15,07:35:41,24CP16,20VI31,27CP02,01PI29,07SG50,09CP53,23CP03,02TA39,16PI35,22CP51,07CN30
Th,2020-01-16,07:39:38,25CP18,04LI57,28CP42,02PI42,08SG30,10CP06,23CP10,02TA40,16PI37,22CP53,07CN27
Fr,2020-01-17,07:43:34,26CP19,19LI13,00AQ23,03PI54,09SG11,10CP20,23CP17,02TA40,16PI38,22CP55,07CN23
Sa,2020-01-18,07:47:31,27CP20,03SC17,02AQ04,05PI07,09SG52,10CP34,23CP24,02TA40,16PI40,22CP57,07CN20
Su,2020-01-19,07:51:27,28CP21,17SC07,03AQ46,06PI19,10SG33,10CP47,23CP31,02TA41,16PI42,22CP59,07CN17
Mo,2020-01-20,07:55:24,29CP22,00SG44,05AQ28,07PI32,11SG13,11CP01,23CP38,02TA41,16PI43,23CP01,07CN14
Tu,2020-01-21,07:59:20,00AQ23,14SG07,07AQ10,08PI44,11SG54,11CP14,23CP45,02TA41,16PI45,23CP03,07CN11
We,2020-01-22,08:03:17,01AQ24,27SG16,08AQ53,09PI57,12SG35,11CP28,23CP53,02TA42,16PI47,23CP05,07CN08
Th,2020-01-23,08:07:14,02AQ25,10CP14,10AQ36,11PI09,13SG16,11CP41,23CP60,02TA43,16PI48,23CP07,07CN04
Fr,2020-01-24,08:11:10,03AQ26,22CP59,12AQ19,12PI21,13SG56,11CP54,24CP07,02TA43,16PI50,23CP09,07CN01
Sa,2020-01-25,08:15:07,04AQ27,05AQ33,14AQ03,13PI33,14SG37,12CP08,24CP14,02TA44,16PI52,23CP11,06CN58
Su,2020-01-26,08:19:03,05AQ28,17AQ55,15AQ46,14PI45,15SG18,12CP21,24CP21,02TA45,16PI54,23CP13,06CN55
Mo,2020-01-27,0.349305556,06AQ29,00PI08,17AQ30,15PI57,15SG59,12CP34,24CP28,02TA45,16PI56,23CP15,06CN52
Tu,2020-01-28,08:26:56,07AQ30,12PI11,19AQ13,17PI09,16SG40,12CP48,24CP35,02TA46,16PI57,23CP17,06CN48
We,2020-01-29,08:30:53,08AQ31,24PI08,20AQ56,18PI20,17SG21,13CP01,24CP42,02TA47,16PI59,23CP19,06CN45
Th,2020-01-30,08:34:49,09AQ32,05AR60,22AQ38,19PI32,18SG02,13CP14,24CP49,02TA48,17PI01,23CP21,06CN42
Fr,2020-01-31,08:38:46,10AQ33,17AR51,24AQ19,20PI44,18SG43,13CP27,24CP56,02TA49,17PI03,23CP23,06CN39
