Day,DATE,SID.TIME,SUN,MOON,MERCURY,VENUS,MARS,JUPITER,SATURN,URANUS,NEPTUNE,PLUTO,NODE
We,2020-07-01,18:38:02,09CN38,14SC59,09CN49,05GE56,01AR46,24CP01,00AQ04,09TA52,20PI57,24CP05,28GE36
Th,2020-07-02,18:41:59,10CN35,29SC12,09CN13,06GE10,02AR21,23CP54,29CP60,09TA54,20PI57,24CP04,28GE33
Fr,2020-07-03,18:45:55,11CN32,13SG18,08CN38,06GE25,02AR57,23CP46,29CP56,09TA56,20PI56,24CP03,28GE30
Sa,2020-07-04,18:49:52,12CN29,27SG14,08CN04,06GE43,03AR32,23CP39,29CP52,09TA58,20PI56,24CP01,28GE26
Su,2020-07-05,18:53:49,13CN26,10CP56,07CN33,07GE02,04AR08,23CP32,29CP48,09TA60,20PI56,23CP60,28GE23
Mo,2020-07-06,18:57:45,14CN24,24CP24,07CN04,07GE23,04AR42,23CP24,29CP44,10TA02,20PI55,23CP58,28GE20
Tu,2020-07-07,19:01:42,15CN21,07AQ33,06CN38,07GE46,05AR17,23CP17,29CP39,10TA04,20PI55,23CP57,28GE17
We,2020-07-08,19:05:38,16CN18,20AQ25,06CN16,08GE10,05AR52,23CP09,29CP35,10TA05,20PI54,23CP56,28GE14
Th,2020-07-09,19:09:35,17CN15,03PI00,05CN57,08GE36,06AR26,23CP01,29CP31,10TA07,20PI54,23CP54,28GE11
Fr,2020-07-10,19:13:31,18CN12,15PI19,05CN43,09GE04,06AR60,22CP54,29CP27,10TA09,20PI53,23CP53,28GE07
Sa,2020-07-11,19:17:28,19CN10,27PI26,05CN34,09GE33,07AR34,22CP46,29CP22,10TA11,20PI53,23CP51,28GE04
Su,2020-07-12,19:21:24,20CN07,09AR24,05CN30,10GE03,08AR07,22CP38,29CP18,10TA12,20PI52,23CP50,28GE01
Mo,2020-07-13,19:25:21,21CN04,21AR18,05CN31,10GE35,08AR41,22CP31,29CP14,10TA14,20PI52,23CP48,27GE58
Tu,2020-07-14,19:29:18,22CN01,03TA11,05CN37,11GE09,09AR14,22CP23,29CP09,10TA16,20PI51,23CP47,27GE55
We,2020-07-15,19:33:14,22CN58,15TA09,05CN48,11GE43,09AR46,22CP15,29CP05,10TA17,20PI50,23CP45,27GE52
Th,2020-07-16,19:37:11,23CN56,27TA16,06CN05,12GE19,10AR19,22CP07,29CP00,10TA19,20PI50,23CP44,27GE48
Fr,2020-07-17,19:41:07,24CN53,09GE37,06CN27,12GE56,10AR51,21CP60,28CP56,10TA20,20PI49,23CP42,27GE45
Sa,2020-07-18,19:45:04,25CN50,22GE15,06CN55,13GE35,11AR23,21CP52,28CP52,10TA21,20PI48,23CP41,27GE42
Su,2020-07-19,19:49:00,26CN47,05CN13,07CN28,14GE14,11AR54,21CP44,28CP47,10TA23,20PI47,23CP40,27GE39
Mo,2020-07-20,19:52:57,27CN45,18CN30,08CN07,14GE54,12AR26,21CP37,28CP43,10TA24,20PI47,23CP38,27GE36
Tu,2020-07-21,19:56:53,28CN42,02LE08,08CN52,15GE36,12AR57,21CP29,28CP38,10TA25,20PI46,23CP37,27GE32
We,2020-07-22,20:00:50,29CN39,16LE02,09CN41,16GE18,13AR27,21CP21,28CP34,10TA27,20PI45,23CP35,27GE29
Th,2020-07-23,20:04:47,00LE37,00VI11,10CN36,17GE02,13AR57,21CP14,28CP29,10TA28,20PI44,23CP34,27GE26
Fr,2020-07-24,20:08:43,01LE34,14VI29,11CN36,17GE46,14AR27,21CP06,28CP25,10TA29,20PI43,23CP32,27GE23
Sa,2020-07-25,20:12:40,02LE31,28VI51,12CN42,18GE31,14AR57,20CP59,28CP20,10TA30,20PI42,23CP31,27GE20
Su,2020-07-26,20:16:36,03LE29,13LI13,13CN52,19GE17,15AR26,20CP51,28CP16,10TA31,20PI41,23CP30,27GE17
Mo,2020-07-27,20:20:33,04LE26,27LI30,15CN08,20GE04,15AR55,20CP44,28CP12,10TA32,20PI40,23CP28,27GE13
Tu,2020-07-28,20:24:29,05LE23,11SC40,16CN28,20GE51,16AR23,20CP37,28CP07,10TA33,20PI39,23CP27,27GE10
We,2020-07-29,20:28:26,06LE21,25SC41,17CN53,21GE40,16AR51,20CP30,28CP03,10TA34,20PI38,23CP25,27GE07
Th,2020-07-30,20:32:22,07LE18,09SG33,19CN23,22GE29,17AR19,20CP22,27CP59,10TA35,20PI37,23CP24,27GE04
Fr,2020-07-31,20:36:19,08LE15,23SG14,20CN57,23GE19,17AR46,20CP15,27CP54,10TA35,20PI36,23CP22,27GE01
