Day,DATE,SID.TIME,SUN,MOON,MERCURY,VENUS,MARS,JUPITER,SATURN,URANUS,NEPTUNE,PLUTO,NODE
Mo,2020-06-01,16:39:46,10GE58,05LI37,04CN07,15GE18,12PI42,26CP46,01AQ37,08TA33,20PI50,24CP41,00CN11
Tu,2020-06-02,16:43:42,11GE56,20LI10,05CN16,14GE41,13PI22,26CP43,01AQ35,08TA36,20PI51,24CP40,00CN08
We,2020-06-03,16:47:39,12GE53,04SC49,06CN21,14GE04,14PI01,26CP39,01AQ33,08TA39,20PI51,24CP40,00CN05
Th,2020-06-04,16:51:35,13GE51,19SC29,07CN23,13GE26,14PI41,26CP35,01AQ30,08TA42,20PI52,24CP39,00CN02
Fr,2020-06-05,16:55:32,14GE48,04SG03,08CN21,12GE48,15PI20,26CP32,01AQ28,08TA45,20PI52,24CP38,29GE59
Sa,2020-06-06,16:59:29,15GE45,18SG24,09CN16,12GE11,15PI60,26CP28,01AQ26,08TA48,20PI53,24CP36,29GE55
Su,2020-06-07,17:03:25,16GE43,02CP28,10CN06,11GE34,16PI39,26CP23,01AQ23,08TA51,20PI54,24CP35,29GE52
Mo,2020-06-08,17:07:22,17GE40,16CP10,10CN53,10GE58,17PI19,26CP19,01AQ21,08TA54,20PI54,24CP34,29GE49
Tu,2020-06-09,17:11:18,18GE38,29CP30,11CN35,10GE23,17PI58,26CP15,01AQ18,08TA57,20PI55,24CP33,29GE46
We,2020-06-10,17:15:15,19GE35,12AQ27,12CN14,09GE49,18PI37,26CP10,01AQ16,08TA60,20PI55,24CP32,29GE43
Th,2020-06-11,17:19:11,20GE32,25AQ04,12CN48,09GE17,19PI16,26CP05,01AQ13,09TA03,20PI55,24CP31,29GE40
Fr,2020-06-12,17:23:08,21GE30,07PI24,13CN18,08GE46,19PI54,26CP00,01AQ10,09TA05,20PI56,24CP30,29GE36
Sa,2020-06-13,17:27:04,22GE27,19PI30,13CN44,08GE17,20PI33,25CP55,01AQ07,09TA08,20PI56,24CP29,29GE33
Su,2020-06-14,17:31:01,23GE24,01AR27,14CN06,07GE50,21PI12,25CP50,01AQ04,09TA11,20PI57,24CP28,29GE30
Mo,2020-06-15,17:34:57,24GE22,13AR20,14CN22,07GE25,21PI50,25CP44,01AQ01,09TA13,20PI57,24CP26,29GE27
Tu,2020-06-16,17:38:54,25GE19,25AR13,14CN35,07GE02,22PI29,25CP39,00AQ58,09TA16,20PI57,24CP25,29GE24
We,2020-06-17,17:42:51,26GE16,07TA11,14CN43,06GE41,23PI07,25CP33,00AQ55,09TA19,20PI57,24CP24,29GE20
Th,2020-06-18,17:46:47,27GE14,19TA16,14CN46,06GE23,23PI45,25CP27,00AQ52,09TA21,20PI57,24CP23,29GE17
Fr,2020-06-19,17:50:44,28GE11,01GE32,14CN44,06GE07,24PI23,25CP21,00AQ48,09TA24,20PI58,24CP21,29GE14
Sa,2020-06-20,17:54:40,29GE08,14GE01,14CN39,05GE53,25PI01,25CP15,00AQ45,09TA26,20PI58,24CP20,29GE11
Su,2020-06-21,17:58:37,00CN05,26GE45,14CN29,05GE42,25PI38,25CP09,00AQ42,09TA29,20PI58,24CP19,29GE08
Mo,2020-06-22,18:02:33,01CN03,09CN44,14CN14,05GE33,26PI16,25CP03,00AQ38,09TA31,20PI58,24CP18,29GE05
Tu,2020-06-23,18:06:30,01CN60,22CN58,13CN56,05GE26,26PI53,24CP56,00AQ34,09TA34,20PI58,24CP16,29GE01
We,2020-06-24,18:10:26,02CN57,06LE27,13CN34,05GE22,27PI30,24CP50,00AQ31,09TA36,20PI58,24CP15,28GE58
Th,2020-06-25,18:14:23,03CN54,20LE08,13CN08,05GE20,28PI07,24CP43,00AQ27,09TA38,20PI58,24CP14,28GE55
Fr,2020-06-26,18:18:20,04CN52,04VI00,12CN40,05GE21,28PI44,24CP36,00AQ23,09TA41,20PI58,24CP12,28GE52
Sa,2020-06-27,18:22:16,05CN49,18VI02,12CN09,05GE24,29PI21,24CP29,00AQ20,09TA43,20PI58,24CP11,28GE49
Su,2020-06-28,18:26:13,06CN46,02LI12,11CN36,05GE29,29PI57,24CP22,00AQ16,09TA45,20PI57,24CP10,28GE46
Mo,2020-06-29,18:30:09,07CN43,16LI26,11CN01,05GE36,00AR34,24CP15,00AQ12,09TA47,20PI57,24CP08,28GE42
Tu,2020-06-30,18:34:06,08CN41,00SC42,10CN25,05GE45,01AR10,24CP08,00AQ08,09TA50,20PI57,24CP07,28GE39
