Day,DATE,SID.TIME,SUN,MOON,MERCURY,VENUS,MARS,JUPITER,SATURN,URANUS,NEPTUNE,PLUTO,NODE
Su,2020-03-01,10:37:03,10PI52,20TA11,02PI48,25AR26,09CP19,19CP33,28CP10,03TA41,18PI07,24CP15,05CN04
Mo,2020-03-02,10:40:59,11PI52,02GE22,01PI53,26AR33,10CP00,19CP44,28CP16,03TA44,18PI09,24CP17,05CN00
Tu,2020-03-03,10:44:56,12PI52,14GE49,01PI03,27AR39,10CP42,19CP55,28CP21,03TA46,18PI11,24CP18,04CN57
We,2020-03-04,10:48:52,13PI52,27GE36,00PI18,28AR45,11CP23,20CP05,28CP27,03TA49,18PI14,24CP20,04CN54
Th,2020-03-05,10:52:49,14PI53,10CN47,29AQ41,29AR51,12CP05,20CP16,28CP33,03TA51,18PI16,24CP21,04CN51
Fr,2020-03-06,10:56:45,15PI53,24CN28,29AQ09,00TA57,12CP46,20CP27,28CP38,03TA54,18PI18,24CP23,04CN48
Sa,2020-03-07,11:00:42,16PI53,08LE38,28AQ45,02TA03,13CP28,20CP37,28CP44,03TA56,18PI21,24CP24,04CN45
Su,2020-03-08,11:04:39,17PI53,23LE16,28AQ28,03TA08,14CP09,20CP48,28CP49,03TA59,18PI23,24CP25,04CN41
Mo,2020-03-09,11:08:35,18PI53,08VI18,28AQ17,04TA13,14CP51,20CP58,28CP55,04TA01,18PI25,24CP27,04CN38
Tu,2020-03-10,11:12:32,19PI53,23VI34,28AQ13,05TA17,15CP33,21CP08,29CP00,04TA04,18PI27,24CP28,04CN35
We,2020-03-11,11:16:28,20PI53,08LI53,28AQ15,06TA22,16CP14,21CP18,29CP05,04TA07,18PI30,24CP29,04CN32
Th,2020-03-12,11:20:25,21PI52,24LI04,28AQ23,07TA26,16CP56,21CP28,29CP11,04TA09,18PI32,24CP31,04CN29
Fr,2020-03-13,11:24:21,22PI52,08SC57,28AQ37,08TA30,17CP37,21CP38,29CP16,04TA12,18PI34,24CP32,04CN25
Sa,2020-03-14,11:28:18,23PI52,23SC25,28AQ56,09TA33,18CP19,21CP48,29CP21,04TA15,18PI36,24CP33,04CN22
Su,2020-03-15,11:32:14,24PI52,07SG26,29AQ20,10TA36,19CP00,21CP58,29CP26,04TA18,18PI39,24CP34,04CN19
Mo,2020-03-16,11:36:11,25PI52,20SG58,29AQ50,11TA39,19CP42,22CP07,29CP31,04TA21,18PI41,24CP35,04CN16
Tu,2020-03-17,11:40:08,26PI51,04CP05,00PI23,12TA42,20CP24,22CP17,29CP36,04TA24,18PI43,24CP37,04CN13
We,2020-03-18,11:44:04,27PI51,16CP51,01PI01,13TA44,21CP05,22CP26,29CP41,04TA26,18PI46,24CP38,04CN10
Th,2020-03-19,11:48:01,28PI51,29CP20,01PI43,14TA45,21CP47,22CP35,29CP45,04TA29,18PI48,24CP39,04CN06
Fr,2020-03-20,11:51:57,29PI50,11AQ36,02PI28,15TA47,22CP29,22CP45,29CP50,04TA32,18PI50,24CP40,04CN03
Sa,2020-03-21,11:55:54,00AR50,23AQ42,03PI17,16TA48,23CP10,22CP54,29CP55,04TA35,18PI52,24CP41,04CN00
Su,2020-03-22,11:59:50,01AR50,05PI42,04PI10,17TA49,23CP52,23CP02,29CP59,04TA38,18PI54,24CP42,03CN57
Mo,2020-03-23,12:03:47,02AR49,17PI38,05PI05,18TA49,24CP34,23CP11,00AQ04,04TA41,18PI57,24CP43,03CN54
Tu,2020-03-24,12:07:43,03AR49,29PI31,06PI03,19TA49,25CP16,23CP20,00AQ08,04TA44,18PI59,24CP44,03CN51
We,2020-03-25,12:11:40,04AR48,11AR23,07PI04,20TA48,25CP57,23CP28,00AQ12,04TA48,19PI01,24CP45,03CN47
Th,2020-03-26,12:15:37,05AR48,23AR15,08PI08,21TA47,26CP39,23CP37,00AQ17,04TA51,19PI03,24CP46,03CN44
Fr,2020-03-27,12:19:33,06AR47,05TA09,09PI14,22TA46,27CP21,23CP45,00AQ21,04TA54,19PI06,24CP46,03CN41
Sa,2020-03-28,12:23:30,07AR46,17TA06,10PI22,23TA44,28CP02,23CP53,00AQ25,04TA57,19PI08,24CP47,03CN38
Su,2020-03-29,12:27:26,08AR46,29TA10,11PI33,24TA41,28CP44,24CP01,00AQ29,05TA00,19PI10,24CP48,03CN35
Mo,2020-03-30,12:31:23,09AR45,11GE23,12PI45,25TA38,29CP26,24CP09,00AQ33,05TA03,19PI12,24CP49,03CN31
Tu,2020-03-31,12:35:19,10AR44,23GE49,14PI00,26TA35,00AQ07,24CP16,00AQ37,05TA06,19PI14,24CP50,03CN28
,,,,,,,,,,,,,
