Day,DATE,SID.TIME,SUN,MOON,MERCURY,VENUS,MARS,JUPITER,SATURN,URANUS,NEPTUNE,PLUTO,NODE
Su,2020-11-01,02:42:59,09SC01,13TA10,26LI37,04LI46,16AR22,21CP03,26CP13,08TA40,18PI23,22CP40,22GE05
Mo,2020-11-02,02:46:55,10SC01,25TA02,26LI11,05LI59,16AR12,21CP11,26CP16,08TA38,18PI22,22CP41,22GE02
Tu,2020-11-03,02:50:52,11SC01,06GE58,25LI57,07LI12,16AR03,21CP20,26CP20,08TA35,18PI21,22CP42,21GE59
We,2020-11-04,02:54:48,12SC01,18GE59,25LI54,08LI25,15AR55,21CP28,26CP23,08TA33,18PI20,22CP43,21GE56
Th,2020-11-05,02:58:45,13SC02,01CN08,26LI03,09LI38,15AR47,21CP37,26CP26,08TA30,18PI20,22CP44,21GE52
Fr,2020-11-06,03:02:41,14SC02,13CN29,26LI21,10LI52,15AR40,21CP46,26CP30,08TA28,18PI19,22CP45,21GE49
Sa,2020-11-07,03:06:38,15SC02,26CN06,26LI50,12LI05,15AR34,21CP55,26CP34,08TA25,18PI18,22CP46,21GE46
Su,2020-11-08,03:10:35,16SC02,09LE01,27LI28,13LI19,15AR29,22CP05,26CP37,08TA23,18PI17,22CP47,21GE43
Mo,2020-11-09,03:14:31,17SC02,22LE19,28LI13,14LI32,15AR24,22CP14,26CP41,08TA20,18PI17,22CP48,21GE40
Tu,2020-11-10,03:18:28,18SC03,06VI03,29LI06,15LI46,15AR21,22CP24,26CP45,08TA18,18PI16,22CP49,21GE37
We,2020-11-11,03:22:24,19SC03,20VI13,00SC05,16LI59,15AR18,22CP33,26CP49,08TA16,18PI16,22CP50,21GE33
Th,2020-11-12,03:26:21,20SC03,04LI48,01SC10,18LI13,15AR16,22CP43,26CP53,08TA13,18PI15,22CP51,21GE30
Fr,2020-11-13,03:30:17,21SC04,19LI43,02SC19,19LI27,15AR14,22CP53,26CP57,08TA11,18PI14,22CP52,21GE27
Sa,2020-11-14,03:34:14,22SC04,04SC51,03SC33,20LI41,15AR14,23CP03,27CP01,08TA08,18PI14,22CP53,21GE24
Su,2020-11-15,03:38:10,23SC05,20SC03,04SC50,21LI54,15AR14,23CP13,27CP06,08TA06,18PI13,22CP54,21GE21
Mo,2020-11-16,03:42:07,24SC05,05SG08,06SC10,23LI08,15AR16,23CP23,27CP10,08TA04,18PI13,22CP55,21GE18
Tu,2020-11-17,03:46:04,25SC06,19SG58,07SC32,24LI22,15AR18,23CP33,27CP15,08TA01,18PI13,22CP57,21GE14
We,2020-11-18,03:50:00,26SC06,04CP25,08SC57,25LI36,15AR20,23CP44,27CP19,07TA59,18PI12,22CP58,21GE11
Th,2020-11-19,03:53:57,27SC07,18CP26,10SC23,26LI50,15AR24,23CP54,27CP24,07TA57,18PI12,22CP59,21GE08
Fr,2020-11-20,03:57:53,28SC07,01AQ59,11SC51,28LI04,15AR28,24CP05,27CP28,07TA54,18PI11,23CP00,21GE05
Sa,2020-11-21,04:01:50,29SC08,15AQ07,13SC20,29LI19,15AR33,24CP16,27CP33,07TA52,18PI11,23CP02,21GE02
Su,2020-11-22,04:05:46,00SG08,27AQ51,14SC50,00SC33,15AR39,24CP27,27CP38,07TA50,18PI11,23CP03,20GE58
Mo,2020-11-23,04:09:43,01SG09,10PI16,16SC21,01SC47,15AR46,24CP38,27CP43,07TA48,18PI11,23CP04,20GE55
Tu,2020-11-24,04:13:39,02SG10,22PI26,17SC52,03SC01,15AR53,24CP49,27CP48,07TA45,18PI10,23CP06,20GE52
We,2020-11-25,04:17:36,03SG10,04AR26,19SC24,04SC16,16AR01,24CP60,27CP53,07TA43,18PI10,23CP07,20GE49
Th,2020-11-26,04:21:33,04SG11,16AR19,20SC57,05SC30,16AR10,25CP11,27CP58,07TA41,18PI10,23CP09,20GE46
Fr,2020-11-27,04:25:29,05SG12,28AR09,22SC29,06SC44,16AR19,25CP22,28CP03,07TA39,18PI10,23CP10,20GE43
Sa,2020-11-28,04:29:26,06SG12,09TA60,24SC02,07SC59,16AR29,25CP34,28CP08,07TA37,18PI10,23CP11,20GE39
Su,2020-11-29,04:33:22,07SG13,21TA53,25SC36,09SC13,16AR40,25CP45,28CP14,07TA35,18PI10,23CP13,20GE36
Mo,2020-11-30,04:37:19,08SG14,03GE51,27SC09,10SC28,16AR51,25CP57,28CP19,07TA33,18PI10,23CP14,20GE33
