Day,DATE,SID.TIME,SUN,MOON,MERCURY,VENUS,MARS,JUPITER,SATURN,URANUS,NEPTUNE,PLUTO,NODE
Th,2020-10-01,00:40:45,08LI16,28PI36,03SC57,27LE50,25AR03,17CP55,25CP20,09TA52,19PI02,22CP29,23GE44
Fr,2020-10-02,00:44:42,09LI15,10AR35,04SC56,28LE59,24AR46,17CP59,25CP21,09TA50,19PI01,22CP29,23GE41
Sa,2020-10-03,00:48:39,10LI14,22AR29,05SC52,00VI09,24AR29,18CP03,25CP21,09TA48,18PI59,22CP29,23GE37
Su,2020-10-04,00:52:35,11LI13,04TA20,06SC45,01VI19,24AR12,18CP06,25CP21,09TA46,18PI58,22CP29,23GE34
Mo,2020-10-05,00:56:32,12LI13,16TA09,07SC35,02VI29,23AR54,18CP11,25CP22,09TA43,18PI56,22CP29,23GE31
Tu,2020-10-06,01:00:28,13LI12,27TA59,08SC21,03VI40,23AR36,18CP15,25CP23,09TA41,18PI55,22CP29,23GE28
We,2020-10-07,01:04:25,14LI11,09GE54,09SC04,04VI50,23AR18,18CP19,25CP23,09TA39,18PI53,22CP29,23GE25
Th,2020-10-08,01:08:21,15LI10,21GE58,09SC42,06VI01,22AR59,18CP24,25CP24,09TA37,18PI52,22CP29,23GE21
Fr,2020-10-09,01:12:18,16LI09,04CN14,10SC16,07VI11,22AR40,18CP28,25CP25,09TA35,18PI50,22CP29,23GE18
Sa,2020-10-10,01:16:14,17LI09,16CN49,10SC45,08VI22,22AR21,18CP33,25CP26,09TA33,18PI49,22CP30,23GE15
Su,2020-10-11,01:20:11,18LI08,29CN46,11SC08,09VI33,22AR02,18CP38,25CP27,09TA30,18PI47,22CP30,23GE12
Mo,2020-10-12,01:24:08,19LI07,13LE10,11SC25,10VI44,21AR43,18CP44,25CP28,09TA28,18PI46,22CP30,23GE09
Tu,2020-10-13,01:28:04,20LI07,27LE04,11SC36,11VI55,21AR23,18CP49,25CP30,09TA26,18PI45,22CP30,23GE06
We,2020-10-14,01:32:01,21LI06,11VI28,11SC40,13VI07,21AR04,18CP55,25CP31,09TA24,18PI43,22CP30,23GE02
Th,2020-10-15,01:35:57,22LI05,26VI17,11SC37,14VI18,20AR45,19CP01,25CP33,09TA21,18PI42,22CP31,22GE59
Fr,2020-10-16,01:39:54,23LI05,11LI26,11SC25,15VI29,20AR26,19CP06,25CP34,09TA19,18PI41,22CP31,22GE56
Sa,2020-10-17,01:43:50,24LI05,26LI44,11SC06,16VI41,20AR08,19CP13,25CP36,09TA17,18PI39,22CP31,22GE53
Su,2020-10-18,01:47:47,25LI04,12SC01,10SC38,17VI53,19AR49,19CP19,25CP38,09TA14,18PI38,22CP32,22GE50
Mo,2020-10-19,01:51:43,26LI04,27SC04,10SC01,19VI05,19AR31,19CP25,25CP40,09TA12,18PI37,22CP32,22GE46
Tu,2020-10-20,01:55:40,27LI03,11SG47,09SC15,20VI16,19AR13,19CP32,25CP42,09TA09,18PI36,22CP33,22GE43
We,2020-10-21,01:59:37,28LI03,26SG04,08SC22,21VI28,18AR56,19CP39,25CP44,09TA07,18PI35,22CP33,22GE40
Th,2020-10-22,02:03:33,29LI03,09CP54,07SC21,22VI41,18AR39,19CP45,25CP46,09TA05,18PI33,22CP34,22GE37
Fr,2020-10-23,02:07:30,00SC02,23CP17,06SC14,23VI53,18AR23,19CP53,25CP48,09TA02,18PI32,22CP34,22GE34
Sa,2020-10-24,02:11:26,01SC02,06AQ18,05SC01,25VI05,18AR07,19CP60,25CP51,08TA60,18PI31,22CP35,22GE31
Su,2020-10-25,02:15:23,02SC02,18AQ58,03SC46,26VI17,17AR51,20CP07,25CP53,08TA57,18PI30,22CP35,22GE27
Mo,2020-10-26,02:19:19,03SC02,01PI22,02SC30,27VI30,17AR37,20CP15,25CP56,08TA55,18PI29,22CP36,22GE24
Tu,2020-10-27,02:23:16,04SC02,13PI34,01SC15,28VI42,17AR23,20CP22,25CP58,08TA52,18PI28,22CP37,22GE21
We,2020-10-28,02:27:12,05SC01,25PI38,00SC04,29VI55,17AR09,20CP30,26CP01,08TA50,18PI27,22CP37,22GE18
Th,2020-10-29,02:31:09,06SC01,07AR35,28LI59,01LI08,16AR56,20CP38,26CP04,08TA47,18PI26,22CP38,22GE15
Fr,2020-10-30,02:35:06,07SC01,19AR28,28LI02,02LI20,16AR44,20CP46,26CP07,08TA45,18PI25,22CP39,22GE12
Sa,2020-10-31,02:39:02,08SC01,01TA19,27LI14,03LI33,16AR33,20CP54,26CP10,08TA43,18PI24,22CP39,22GE08
