Day,DATE,SID.TIME,SUN,MOON,MERCURY,VENUS,MARS,JUPITER,SATURN,URANUS,NEPTUNE,PLUTO,NODE
Tu,2020-09-01,22:42:29,09VI01,25AQ01,21VI59,24CN18,27AR34,17CP38,25CP58,10TA35,19PI51,22CP45,25GE19
We,2020-09-02,22:46:25,09VI59,07PI26,23VI41,25CN22,27AR41,17CP36,25CP56,10TA34,19PI49,22CP44,25GE16
Th,2020-09-03,22:50:22,10VI57,19PI42,25VI22,26CN26,27AR48,17CP34,25CP53,10TA33,19PI48,22CP43,25GE13
Fr,2020-09-04,22:54:18,11VI55,01AR49,27VI01,27CN30,27AR53,17CP32,25CP51,10TA32,19PI46,22CP42,25GE09
Sa,2020-09-05,22:58:15,12VI54,13AR48,28VI40,28CN35,27AR58,17CP31,25CP49,10TA31,19PI44,22CP41,25GE06
Su,2020-09-06,23:02:12,13VI52,25AR41,00LI17,29CN40,28AR02,17CP29,25CP46,10TA30,19PI43,22CP41,25GE03
Mo,2020-09-07,23:06:08,14VI50,07TA31,01LI53,00LE45,28AR05,17CP28,25CP44,10TA29,19PI41,22CP40,24GE60
Tu,2020-09-08,23:10:05,15VI48,19TA21,03LI28,01LE51,28AR07,17CP27,25CP42,10TA28,19PI39,22CP39,24GE57
We,2020-09-09,23:14:01,16VI46,01GE15,05LI02,02LE56,28AR08,17CP26,25CP40,10TA27,19PI38,22CP38,24GE54
Th,2020-09-10,23:17:58,17VI45,13GE19,06LI34,04LE02,28AR09,17CP25,25CP38,10TA26,19PI36,22CP38,24GE50
Fr,2020-09-11,23:21:54,18VI43,25GE37,08LI06,05LE08,28AR08,17CP25,25CP36,10TA24,19PI34,22CP37,24GE47
Sa,2020-09-12,23:25:51,19VI41,08CN15,09LI36,06LE15,28AR07,17CP24,25CP35,10TA23,19PI33,22CP36,24GE44
Su,2020-09-13,23:29:47,20VI40,21CN18,11LI05,07LE21,28AR04,17CP24,25CP33,10TA22,19PI31,22CP36,24GE41
Mo,2020-09-14,23:33:44,21VI38,04LE48,12LI33,08LE28,28AR01,17CP24,25CP32,10TA21,19PI30,22CP35,24GE38
Tu,2020-09-15,23:37:41,22VI37,18LE48,13LI60,09LE35,27AR57,17CP25,25CP30,10TA19,19PI28,22CP35,24GE35
We,2020-09-16,23:41:37,23VI35,03VI16,15LI25,10LE42,27AR52,17CP25,25CP29,10TA18,19PI26,22CP34,24GE31
Th,2020-09-17,23:45:34,24VI34,18VI06,16LI49,11LE49,27AR46,17CP26,25CP28,10TA16,19PI25,22CP34,24GE28
Fr,2020-09-18,23:49:30,25VI32,03LI11,18LI13,12LE57,27AR40,17CP27,25CP26,10TA15,19PI23,22CP33,24GE25
Sa,2020-09-19,23:53:27,26VI31,18LI20,19LI34,14LE05,27AR32,17CP28,25CP25,10TA13,19PI21,22CP33,24GE22
Su,2020-09-20,23:57:23,27VI30,03SC23,20LI55,15LE13,27AR24,17CP29,25CP24,10TA12,19PI20,22CP32,24GE19
Mo,2020-09-21,00:01:20,28VI28,18SC12,22LI14,16LE21,27AR15,17CP31,25CP24,10TA10,19PI18,22CP32,24GE15
Tu,2020-09-22,00:05:16,29VI27,02SG39,23LI32,17LE29,27AR05,17CP32,25CP23,10TA08,19PI16,22CP31,24GE12
We,2020-09-23,00:09:13,00LI26,16SG43,24LI48,18LE37,26AR54,17CP34,25CP22,10TA07,19PI15,22CP31,24GE09
Th,2020-09-24,00:13:10,01LI24,00CP24,26LI03,19LE46,26AR42,17CP36,25CP22,10TA05,19PI13,22CP31,24GE06
Fr,2020-09-25,00:17:06,02LI23,13CP43,27LI17,20LE54,26AR30,17CP38,25CP21,10TA03,19PI12,22CP30,24GE03
Sa,2020-09-26,00:21:03,03LI22,26CP43,28LI28,22LE03,26AR17,17CP41,25CP21,10TA01,19PI10,22CP30,23GE60
Su,2020-09-27,00:24:59,04LI21,09AQ27,29LI38,23LE12,26AR04,17CP43,25CP21,09TA59,19PI08,22CP30,23GE56
Mo,2020-09-28,00:28:56,05LI20,21AQ58,00SC46,24LE21,25AR49,17CP46,25CP20,09TA58,19PI07,22CP30,23GE53
Tu,2020-09-29,00:32:52,06LI18,04PI19,01SC52,25LE31,25AR34,17CP49,25CP20,09TA56,19PI05,22CP30,23GE50
We,2020-09-30,00:36:49,07LI17,16PI31,02SC55,26LE40,25AR19,17CP52,25CP20,09TA54,19PI04,22CP29,23GE47
